Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Approximate Volume Released (m3),Substance,SubstanceCategory,Release Type,Year,What Happened?,Why it Happened?,Pipeline Phase,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2008-063,Fatality,25-06-2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63833,-108.35487,No,Yes,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Incorrect Operation,"Individual Factors, Leadership and Communication, Standards and Procedures",Construction,,
INC2008-067,Release of Substance,06-07-2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54745,-113.35577,Yes,No,No,No,40,Crude Oil - Synthetic,Low Vapour Pressure Product,Liquid,2008,Incorrect Operation,Maintenance,Operation,,
INC2008-070,Release of Substance,17-07-2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20731,-101.48747,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Material Defect,Individual Factors,Operation,,
INC2008-072,Release of Substance,18-07-2008,Alameda,Saskatchewan,Alliance Pipeline Ltd.,Closed,49.31834,-102.28983,Yes,No,No,No,800,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,,
INC2008-075,Release of Substance,23-07-2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5416,-113.36454,Yes,No,No,No,2,Diesel Fuel,Low Vapour Pressure Product,Liquid,2008,Equipment Failure,Standards and Procedures,Operation,,
INC2008-078,Release of Substance,31-07-2008,Hearst,Ontario,TransCanada PipeLines Limited,Closed,49.79469,-85.85655,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Material Defect,Maintenance,Operation,,
INC2008-079,Release of Substance,08-08-2008,Herbert,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Closed,50.539202,-107.30766,Yes,No,No,No,0.5,Propane,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,,
INC2008-084,Fire,26-08-2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.10223,-106.35299,No,No,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Operating Conditions,Maintenance,Construction,,
INC2008-085,Fire,04-09-2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.44373,-107.37839,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Engineering and Planning,Operation,,
INC2008-086,Release of Substance,28-08-2008,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.85542,-93.36393,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Cracking ,Standards and Procedures,Operation,,
INC2008-087,Release of Substance,05-09-2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14631,-120.6692,No,No,No,No,0.1,Butane,High Vapour Pressure Product,Gas,2008,External Interference,Individual Factors,Construction,,
INC2008-095,Release of Substance,26-09-2008,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Closed,49.68098,-95.37458,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Cracking ,Engineering and Planning,Operation,,
INC2008-097,Fire,07-10-2008,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.33806,-79.24126,No,No,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Operating Conditions,Maintenance,Operation,,
INC2008-098,Release of Substance,16-10-2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91211,-98.51757,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,External Interference,Standards and Procedures,Operation,,
INC2008-103,Release of Substance,04-11-2008,Reynolds,Manitoba,TransCanada PipeLines Limited,Closed,49.65789,-96.16268,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,,
INC2008-109,"Fire, Release of Substance",20-11-2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14652,-120.66937,No,No,No,No,0.005,Mixed HVP Hydrocarbons,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,,
INC2008-110,Release of Substance,21-11-2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,59.20196,-121.5963,Yes,No,No,No,10,Condensate,Low Vapour Pressure Product,Liquid,2008,Incorrect Operation,Leadership and Communication,Operation,,
INC2008-111,Release of Substance,26-11-2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56932,-121.94466,No,No,No,No,10,Amine,Miscellaneous,Miscellaneous,2008,Material Defect,Maintenance,Operation,,
INC2008-112,Fire,26-11-2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.03189,-123.03117,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Material Defect,Maintenance,Maintenance,,
INC2008-113,"Release of Substance, Adverse Environmental Effects",01-12-2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.5692,-121.94446,No,No,No,No,2,Glycol,Miscellaneous,Miscellaneous,2008,Material Defect,Standards and Procedures,Operation,,
INC2008-114,Release of Substance,02-12-2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,Closed,49.68017,-96.64917,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,External Interference,Standards and Procedures,Operation,,
INC2008-115,Fire,02-12-2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.63822,-121.65102,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,"Maintenance, Standards and Procedures",Operation,,
INC2008-119,Release of Substance,08-12-2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.032,-123.03098,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Material Defect,Maintenance,Operation,,
INC2008-120,Release of Substance,09-12-2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,Closed,49.75544,-97.2305,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,,
